year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2014.0,7.0,18.0,7.0,112.0,21.0,25.0,1008.0,SE,2.68,0.0,0
2010.0,7.0,15.0,23.0,266.0,22.0,24.0,1005.0,SE,3.13,0.0,1
2011.0,2.0,13.0,22.0,12.0,-13.0,-5.0,1032.0,NW,8.05,0.0,0
2013.0,2.0,11.0,0.0,55.0,-19.0,-8.0,1034.0,NE,1.79,0.0,0
2013.0,10.0,11.0,14.0,47.0,0.0,22.0,1013.0,SE,1.79,0.0,0
2010.0,12.0,3.0,14.0,65.0,-14.0,6.0,1020.0,SE,8.04,0.0,0
2012.0,8.0,7.0,19.0,68.0,25.0,29.0,1005.0,SE,21.0,0.0,0
2013.0,8.0,4.0,14.0,80.0,21.0,33.0,998.0,SE,10.29,0.0,0
2014.0,2.0,24.0,13.0,356.0,-5.0,7.0,1027.0,cv,0.89,0.0,0
2014.0,8.0,15.0,9.0,114.0,19.0,25.0,1008.0,NE,4.92,0.0,0
2014.0,3.0,26.0,12.0,331.0,8.0,19.0,1011.0,SE,1.79,0.0,0
2014.0,1.0,18.0,3.0,20.0,-17.0,-1.0,1033.0,NW,68.38,0.0,0
2010.0,9.0,21.0,1.0,20.0,14.0,15.0,1014.0,NE,34.87,0.0,7
2013.0,3.0,4.0,1.0,24.0,-14.0,9.0,1021.0,NW,16.09,0.0,0
2012.0,12.0,17.0,3.0,28.0,-6.0,-5.0,1031.0,NW,1.79,0.0,0
2011.0,1.0,29.0,9.0,9.0,-24.0,-9.0,1038.0,NE,3.13,0.0,0
2010.0,5.0,29.0,4.0,219.0,15.0,16.0,1007.0,SE,4.02,0.0,0
2013.0,10.0,21.0,22.0,121.0,3.0,8.0,1023.0,NE,0.89,0.0,0
2010.0,8.0,31.0,20.0,89.0,20.0,23.0,1011.0,SE,0.89,0.0,0
2011.0,2.0,12.0,15.0,49.0,-17.0,-2.0,1030.0,SE,4.92,0.0,0
2014.0,6.0,29.0,15.0,61.0,15.0,34.0,1005.0,SE,13.41,0.0,0
2014.0,1.0,25.0,1.0,55.0,-19.0,-1.0,1022.0,NW,1.79,0.0,0
2012.0,10.0,6.0,18.0,80.0,7.0,18.0,1022.0,SE,7.6,0.0,0
2013.0,11.0,27.0,5.0,5.0,-26.0,-4.0,1025.0,NW,154.22,0.0,0
2010.0,2.0,12.0,11.0,21.0,-22.0,-4.0,1036.0,NW,3.13,0.0,0
2013.0,9.0,1.0,8.0,39.0,13.0,21.0,1014.0,NE,3.13,0.0,0
2014.0,4.0,4.0,20.0,20.0,-19.0,17.0,1017.0,NE,26.37,0.0,0
2011.0,8.0,21.0,21.0,92.0,21.0,24.0,1011.0,cv,0.89,0.0,0
2010.0,4.0,19.0,5.0,343.0,8.0,13.0,1012.0,NW,5.37,0.0,0
2010.0,4.0,28.0,4.0,11.0,-10.0,6.0,1011.0,NW,246.32,0.0,0
2010.0,11.0,16.0,23.0,227.0,-4.0,-1.0,1023.0,NW,300.57,0.0,0
2013.0,10.0,18.0,22.0,273.0,7.0,11.0,1024.0,NE,0.89,0.0,0
2012.0,2.0,14.0,9.0,13.0,-17.0,-1.0,1028.0,NW,7.15,0.0,0
2011.0,3.0,27.0,9.0,20.0,-15.0,12.0,1026.0,NW,88.97,0.0,0
2014.0,4.0,6.0,2.0,64.0,-5.0,5.0,1020.0,NW,1.79,0.0,0
2011.0,12.0,21.0,5.0,11.0,-15.0,-6.0,1027.0,cv,0.89,0.0,0
2011.0,9.0,14.0,10.0,188.0,18.0,22.0,1011.0,cv,0.89,0.0,0
2014.0,12.0,29.0,10.0,132.0,-11.0,3.0,1014.0,cv,2.67,0.0,0
2011.0,4.0,1.0,6.0,18.0,-6.0,11.0,1023.0,NE,52.75,0.0,0
2012.0,7.0,16.0,7.0,130.0,21.0,25.0,1009.0,NW,1.79,0.0,0
2011.0,12.0,14.0,16.0,11.0,-20.0,0.0,1034.0,NW,148.88,0.0,0
2010.0,3.0,17.0,8.0,34.0,-15.0,1.0,1028.0,NE,33.97,0.0,0
2012.0,7.0,24.0,4.0,64.0,21.0,24.0,1008.0,cv,0.89,0.0,0
2014.0,5.0,22.0,6.0,242.0,17.0,20.0,1006.0,SE,0.89,0.0,0
2014.0,12.0,22.0,12.0,80.0,-13.0,6.0,1024.0,cv,1.78,0.0,0
2011.0,10.0,3.0,6.0,28.0,1.0,3.0,1030.0,NW,15.65,0.0,0
2012.0,6.0,15.0,8.0,12.0,13.0,25.0,1007.0,NW,9.84,0.0,0
2013.0,12.0,25.0,2.0,329.0,-11.0,-7.0,1029.0,NW,5.37,0.0,0
2012.0,3.0,7.0,8.0,10.0,-12.0,5.0,1023.0,NW,14.76,0.0,0
2011.0,10.0,9.0,8.0,284.0,15.0,17.0,1019.0,cv,0.89,0.0,0
2011.0,5.0,17.0,7.0,105.0,10.0,17.0,1001.0,SE,1.79,0.0,0
2013.0,10.0,18.0,7.0,227.0,3.0,5.0,1026.0,cv,2.24,0.0,0
2010.0,10.0,18.0,18.0,50.0,6.0,6.0,1025.0,NW,26.38,0.0,6
2013.0,9.0,3.0,20.0,119.0,17.0,22.0,1015.0,SE,9.39,0.0,0
2014.0,9.0,28.0,20.0,53.0,16.0,18.0,1015.0,SE,23.25,0.0,0
2013.0,8.0,19.0,23.0,48.0,19.0,24.0,1010.0,SE,4.47,0.0,0
2010.0,2.0,7.0,6.0,81.0,-7.0,-6.0,1024.0,NW,0.89,0.0,0
2014.0,4.0,26.0,14.0,52.0,2.0,22.0,1020.0,cv,2.68,0.0,0
2011.0,7.0,10.0,6.0,93.0,18.0,24.0,1007.0,SE,6.26,0.0,0
2014.0,6.0,9.0,19.0,33.0,13.0,22.0,1005.0,NE,11.17,0.0,0
2014.0,7.0,23.0,23.0,41.0,20.0,25.0,1003.0,SE,0.89,0.0,0
2014.0,2.0,1.0,21.0,132.0,-1.0,2.0,1013.0,SE,21.02,0.0,0
2012.0,7.0,24.0,14.0,69.0,23.0,30.0,1008.0,SE,1.79,0.0,0
2011.0,5.0,24.0,0.0,53.0,8.0,20.0,1013.0,SE,67.04,0.0,0
2011.0,9.0,21.0,9.0,30.0,5.0,19.0,1017.0,NE,4.02,0.0,0
2014.0,7.0,4.0,12.0,152.0,22.0,32.0,1005.0,cv,3.57,0.0,0
2013.0,9.0,9.0,0.0,45.0,15.0,20.0,1014.0,cv,1.78,0.0,1
2014.0,8.0,12.0,1.0,57.0,17.0,20.0,1005.0,cv,0.9,0.0,0
2013.0,4.0,9.0,3.0,6.0,-11.0,7.0,1016.0,NW,247.21,0.0,0
2011.0,2.0,28.0,8.0,37.0,-9.0,-2.0,1029.0,NW,16.99,0.0,0
2012.0,10.0,5.0,6.0,17.0,7.0,9.0,1017.0,NW,4.02,0.0,0
2013.0,12.0,26.0,7.0,11.0,-23.0,-5.0,1035.0,NW,204.74,0.0,0
2010.0,2.0,11.0,5.0,10.0,-23.0,-5.0,1034.0,NE,95.65,0.0,0
2014.0,10.0,19.0,2.0,389.0,12.0,14.0,1015.0,NE,0.89,0.0,0
2014.0,12.0,30.0,15.0,55.0,-14.0,6.0,1017.0,SE,11.63,0.0,0
2013.0,9.0,8.0,7.0,33.0,15.0,18.0,1017.0,NW,0.89,0.0,0
2012.0,1.0,4.0,1.0,13.0,-20.0,-6.0,1036.0,NW,355.84,0.0,0
2014.0,9.0,30.0,9.0,15.0,2.0,12.0,1029.0,cv,1.78,0.0,0
2011.0,6.0,24.0,22.0,48.0,15.0,24.0,1011.0,cv,1.79,0.0,0
2013.0,4.0,4.0,2.0,47.0,-4.0,9.0,1015.0,SE,73.32,0.0,0
2013.0,5.0,1.0,20.0,41.0,-1.0,21.0,1012.0,SE,29.05,0.0,0
2011.0,12.0,18.0,11.0,40.0,-20.0,0.0,1034.0,NE,33.97,0.0,0
2012.0,5.0,6.0,17.0,180.0,11.0,27.0,1002.0,SE,26.37,0.0,0
2011.0,8.0,6.0,1.0,112.0,22.0,24.0,1006.0,SE,46.95,0.0,0
2011.0,2.0,12.0,23.0,58.0,-9.0,-6.0,1030.0,SE,29.51,2.0,0
2014.0,11.0,25.0,0.0,90.0,-4.0,1.0,1026.0,NE,0.89,0.0,0
2013.0,9.0,19.0,9.0,125.0,17.0,22.0,1014.0,NW,1.79,0.0,0
2013.0,6.0,1.0,23.0,48.0,10.0,21.0,1008.0,cv,0.45,0.0,0
2013.0,12.0,10.0,2.0,44.0,-13.0,-6.0,1021.0,NE,1.79,0.0,0
2012.0,3.0,10.0,2.0,93.0,-7.0,-1.0,1023.0,SE,52.75,0.0,0
2010.0,1.0,28.0,5.0,32.0,-15.0,-3.0,1025.0,NE,25.03,0.0,0
2011.0,12.0,18.0,7.0,19.0,-18.0,-6.0,1035.0,NE,17.88,0.0,0
2012.0,2.0,3.0,17.0,72.0,-25.0,3.0,1021.0,NW,39.78,0.0,0
2011.0,4.0,9.0,20.0,107.0,-5.0,21.0,1011.0,NW,4.92,0.0,0
2010.0,8.0,1.0,13.0,49.0,14.0,31.0,1009.0,SE,4.02,0.0,0
2011.0,8.0,16.0,9.0,17.0,22.0,27.0,1004.0,NW,21.45,0.0,0
2013.0,7.0,29.0,10.0,81.0,23.0,29.0,1000.0,SE,0.89,0.0,0
2014.0,3.0,14.0,6.0,7.0,-24.0,6.0,1021.0,NW,57.67,0.0,0
2012.0,6.0,25.0,1.0,71.0,21.0,21.0,1004.0,cv,2.23,0.0,5
2010.0,11.0,29.0,11.0,121.0,-4.0,2.0,1020.0,NW,3.58,0.0,0
2014.0,7.0,11.0,16.0,13.0,13.0,35.0,999.0,NE,3.13,0.0,0
2010.0,11.0,27.0,21.0,35.0,-16.0,-3.0,1026.0,SE,9.84,0.0,0
2014.0,11.0,27.0,18.0,20.0,-15.0,6.0,1023.0,NE,23.69,0.0,0
2010.0,3.0,29.0,17.0,259.0,5.0,8.0,1021.0,cv,0.89,0.0,0
2014.0,6.0,10.0,23.0,94.0,17.0,19.0,1011.0,cv,1.78,0.0,0
2012.0,5.0,13.0,20.0,84.0,13.0,19.0,1006.0,NE,8.04,0.0,0
2012.0,6.0,3.0,14.0,216.0,21.0,23.0,1005.0,NE,1.79,0.0,2
2010.0,1.0,31.0,9.0,17.0,-17.0,2.0,1026.0,NW,120.66,0.0,0
2014.0,3.0,24.0,11.0,280.0,1.0,15.0,1015.0,cv,2.67,0.0,0
2010.0,7.0,16.0,5.0,231.0,22.0,23.0,1005.0,SE,1.79,0.0,0
2014.0,7.0,26.0,17.0,76.0,16.0,35.0,1007.0,SE,19.66,0.0,0
2012.0,9.0,2.0,17.0,16.0,18.0,23.0,1009.0,NE,1.79,0.0,0
2014.0,8.0,29.0,8.0,68.0,18.0,21.0,1016.0,cv,0.89,0.0,0
2014.0,12.0,16.0,13.0,25.0,-20.0,0.0,1030.0,NW,261.5,0.0,0
2011.0,6.0,9.0,11.0,152.0,18.0,30.0,1004.0,SE,1.79,0.0,0
2013.0,12.0,5.0,5.0,33.0,-13.0,3.0,1023.0,NW,1.79,0.0,0
2012.0,6.0,19.0,6.0,139.0,18.0,21.0,1002.0,SE,33.08,0.0,0
2010.0,7.0,20.0,3.0,54.0,19.0,22.0,1003.0,NW,0.89,0.0,5
2011.0,3.0,30.0,4.0,115.0,-4.0,4.0,1021.0,NW,0.89,0.0,0
2012.0,7.0,19.0,8.0,126.0,23.0,25.0,1007.0,SE,8.95,0.0,0
2012.0,9.0,8.0,18.0,60.0,17.0,25.0,1013.0,SE,13.41,0.0,0
2010.0,11.0,28.0,7.0,79.0,-12.0,-6.0,1022.0,SE,2.68,0.0,0
2013.0,12.0,4.0,0.0,167.0,-10.0,3.0,1021.0,cv,2.68,0.0,0
2013.0,6.0,11.0,18.0,20.0,15.0,24.0,1005.0,NW,3.13,0.0,0
2010.0,2.0,25.0,0.0,164.0,2.0,4.0,1010.0,cv,1.78,0.0,0
2014.0,5.0,5.0,0.0,67.0,-2.0,8.0,1018.0,cv,0.89,0.0,0
2013.0,6.0,4.0,4.0,174.0,16.0,22.0,1009.0,SE,16.1,0.0,0
2010.0,2.0,18.0,23.0,296.0,-16.0,-3.0,1021.0,cv,0.89,0.0,0
2011.0,5.0,4.0,6.0,93.0,6.0,15.0,1012.0,SE,44.71,0.0,0
2013.0,12.0,1.0,6.0,90.0,-13.0,-6.0,1025.0,NW,0.89,0.0,0
2010.0,7.0,15.0,5.0,141.0,21.0,24.0,1007.0,SE,5.37,0.0,0
2013.0,10.0,7.0,16.0,15.0,-1.0,24.0,1022.0,NE,24.13,0.0,0
2013.0,4.0,18.0,11.0,8.0,-17.0,11.0,1025.0,NE,34.86,0.0,0
2011.0,1.0,19.0,2.0,20.0,-23.0,-12.0,1034.0,NW,106.83,0.0,0
2012.0,11.0,4.0,16.0,23.0,0.0,4.0,1013.0,NW,200.74,0.0,31
2013.0,11.0,23.0,17.0,222.0,-7.0,13.0,1019.0,SE,4.02,0.0,0
2011.0,11.0,24.0,10.0,96.0,-8.0,-1.0,1028.0,cv,1.78,0.0,0
2011.0,11.0,26.0,16.0,210.0,-5.0,6.0,1019.0,cv,0.89,0.0,0
2013.0,5.0,2.0,0.0,71.0,1.0,16.0,1013.0,SE,38.89,0.0,0
2010.0,2.0,26.0,18.0,70.0,-7.0,3.0,1020.0,SE,16.08,0.0,0
2014.0,6.0,26.0,15.0,66.0,19.0,33.0,1001.0,cv,1.79,0.0,0
2013.0,11.0,13.0,11.0,185.0,-2.0,7.0,1022.0,SE,0.89,0.0,0
2014.0,9.0,29.0,12.0,17.0,7.0,23.0,1019.0,NE,21.45,0.0,0
2010.0,7.0,18.0,12.0,149.0,23.0,32.0,1006.0,SE,1.79,0.0,0
2013.0,4.0,13.0,0.0,59.0,1.0,11.0,1006.0,NE,0.89,0.0,0
2010.0,5.0,9.0,17.0,56.0,-9.0,21.0,1007.0,NW,16.99,0.0,0
2011.0,2.0,9.0,6.0,199.0,-8.0,-7.0,1026.0,cv,0.89,0.0,0
2010.0,7.0,15.0,3.0,126.0,22.0,24.0,1007.0,SE,1.79,0.0,0
2012.0,6.0,18.0,15.0,164.0,16.0,32.0,1001.0,SE,21.9,0.0,0
2013.0,7.0,9.0,15.0,46.0,21.0,23.0,1003.0,NE,1.79,0.0,4
2014.0,1.0,25.0,12.0,15.0,-22.0,6.0,1028.0,NE,14.75,0.0,0
2013.0,10.0,28.0,1.0,402.0,3.0,6.0,1018.0,NW,1.78,0.0,0
2012.0,3.0,7.0,23.0,11.0,-19.0,1.0,1028.0,NW,123.83,0.0,0
2010.0,2.0,12.0,6.0,9.0,-22.0,-9.0,1038.0,NW,11.17,0.0,0
2013.0,10.0,14.0,1.0,77.0,10.0,13.0,1019.0,NW,1.79,0.0,1
2014.0,10.0,31.0,22.0,188.0,10.0,14.0,1020.0,SE,4.92,0.0,0
2012.0,2.0,6.0,9.0,12.0,-21.0,-3.0,1027.0,NW,59.01,0.0,0
2010.0,6.0,23.0,19.0,62.0,12.0,27.0,1007.0,SE,31.28,0.0,0
2014.0,7.0,30.0,17.0,130.0,21.0,28.0,1005.0,SE,18.34,0.0,0
2011.0,1.0,5.0,6.0,24.0,-21.0,-8.0,1030.0,NW,130.07,0.0,0
2012.0,6.0,4.0,17.0,66.0,12.0,32.0,1001.0,SE,26.37,0.0,0
2012.0,6.0,6.0,11.0,191.0,16.0,28.0,1001.0,SE,1.79,0.0,0
2012.0,5.0,19.0,11.0,298.0,18.0,26.0,1009.0,SE,17.45,0.0,0
2012.0,2.0,17.0,3.0,11.0,-20.0,-7.0,1031.0,NW,150.21,0.0,0
2010.0,11.0,7.0,17.0,16.0,-7.0,10.0,1020.0,NW,113.99,0.0,0
2012.0,2.0,7.0,19.0,12.0,-25.0,-6.0,1029.0,NW,75.99,0.0,0
2014.0,9.0,27.0,2.0,61.0,14.0,14.0,1014.0,NW,3.13,0.0,0
2011.0,7.0,28.0,2.0,171.0,24.0,26.0,1004.0,SE,42.9,0.0,0
2013.0,4.0,16.0,6.0,63.0,1.0,6.0,1004.0,NW,6.71,0.0,0
2012.0,6.0,23.0,15.0,167.0,21.0,25.0,1001.0,cv,0.89,0.0,0
2010.0,9.0,16.0,8.0,219.0,21.0,24.0,1011.0,SE,70.64,0.0,0
2012.0,4.0,18.0,20.0,225.0,12.0,17.0,1008.0,cv,0.89,0.0,0
2011.0,8.0,12.0,14.0,159.0,24.0,32.0,1002.0,SE,8.05,0.0,0
2014.0,4.0,15.0,15.0,54.0,-4.0,20.0,1019.0,SE,39.33,0.0,0
2011.0,5.0,20.0,13.0,12.0,-4.0,18.0,1015.0,NW,92.09,0.0,0
2011.0,11.0,22.0,0.0,380.0,-2.0,3.0,1025.0,cv,0.89,0.0,0
2010.0,8.0,20.0,10.0,79.0,22.0,28.0,1015.0,NW,16.99,0.0,0
2010.0,10.0,23.0,12.0,225.0,12.0,15.0,1018.0,NE,1.79,0.0,0
2013.0,5.0,1.0,5.0,46.0,4.0,8.0,1018.0,cv,0.89,0.0,0
2011.0,1.0,18.0,1.0,12.0,-22.0,-10.0,1035.0,NW,4.02,0.0,0
2010.0,8.0,5.0,5.0,35.0,20.0,23.0,1004.0,NW,13.41,0.0,0
2014.0,10.0,9.0,15.0,373.0,15.0,22.0,1018.0,SE,1.79,0.0,0
2010.0,12.0,18.0,22.0,308.0,-10.0,-5.0,1014.0,cv,1.78,0.0,0
2012.0,7.0,26.0,11.0,61.0,24.0,26.0,1004.0,SE,12.07,0.0,0
2013.0,12.0,10.0,21.0,7.0,-21.0,1.0,1022.0,NW,112.2,0.0,0
2013.0,9.0,11.0,4.0,39.0,11.0,15.0,1014.0,NE,0.89,0.0,0
